name,,year,seller_type,owner,km_driven,ex_showroom_price,selling_price
KTM 390 Duke ABS [2013-2016],,2015,Individual,2nd owner,13125,202127,180000
Bajaj Pulsar 180,,2014,Individual,2nd owner,19600,85011,42000
Suzuki Access 125 [2007-2016],,2011,Individual,1st owner,40000,58314,16000
Hero Splendor iSmart,,2015,Individual,1st owner,19055,52271,40000
Bajaj Pulsar 180,,2012,Individual,2nd owner,57000,85011,38000
Yamaha YZF R15 S,,2017,Individual,1st owner,13000,117926,85000
Honda Aviator,,2013,Individual,1st owner,28087,63537,28000
KTM 200 Duke,,2018,Individual,1st owner,24000,,135000
Royal Enfield Thunderbird 350,,2016,Individual,1st owner,24600,,120000
Hero Karizma ZMR,,2010,Individual,1st owner,27500,108000,37000
Royal Enfield Classic Chrome,,2015,Individual,1st owner,45000,189313,135000
Hero Honda Splendor,,2000,Individual,1st owner,61000,,10000
Mahindra Rodeo,,2013,Individual,1st owner,7000,47343,20000
TVS Apache RTR 160,,2019,Individual,1st owner,6400,,83299
Yamaha Fazer FI V 2.0 [2016-2018],,2018,Individual,1st owner,3500,89643,65000
Honda Activa 5G,,2018,Individual,1st owner,14000,59422,50000
Bajaj Pulsar 220 Fi,,2013,Individual,1st owner,6409,,65000
Hero Honda Karizma ZMR [2010],,2012,Individual,3rd owner,44000,,45000
Honda CB Hornet 160R,,2017,Individual,1st owner,16500,92210,60000
Royal Enfield Bullet 350,,2015,Individual,1st owner,36000,,110000
Hero Honda CD Deluxe,,2005,Individual,2nd owner,30000,,14700
Yamaha Saluto,,2015,Individual,1st owner,15000,63180,38000
Suzuki Access 125,,2018,Individual,1st owner,14500,,70000
TVS Sport,,2018,Individual,1st owner,26600,,35000
Hero Honda Glamour,,2012,Individual,1st owner,32000,,19000
KTM 125 Duke,,2019,Individual,1st owner,3500,,130000
Bajaj Pulsar NS200,,2013,Dealer,1st owner,58203,,50000
Bajaj Pulsar 150 [2001-2011],,2005,Individual,1st owner,21885,,18000
Hero Xtreme 200R,,2019,Individual,1st owner,3200,93400,87000
Hero Honda Splendor Plus,,2007,Individual,1st owner,40000,,40000
Bajaj Discover 150S,,2015,Individual,1st owner,28000,63331,35000
Honda CBR-250R,,2011,Individual,2nd owner,3500,171646,100000
Hero Pleasure,,2013,Individual,1st owner,24000,51600,30000
Bajaj Avenger Cruise 220,,2018,Individual,1st owner,1800,,95000
Bajaj Discover 125 ST,,2012,Individual,1st owner,76000,58438,25000
Bajaj Pulsar 150 [2001-2011],,2010,Individual,1st owner,52500,,26500
Bajaj Boxer,,2008,Individual,1st owner,17500,,12000
Bajaj Pulsar 150,,2006,Individual,1st owner,41000,,20000
Royal Enfield Classic Signals,,2018,Individual,1st owner,2845,164095,195000
Bajaj Pulsar 180,,2007,Individual,1st owner,50000,85011,14900
Honda Dream Yuga,,2018,Individual,1st owner,7110,56147,48000
Yamaha FZ S [2012-2016],,2014,Individual,1st owner,27785,79432,40000
Honda CB Unicorn,,2010,Individual,1st owner,75000,71681,45000
Honda Shine,,2010,Individual,1st owner,20000,,25000
Honda Activa 3G,,2011,Individual,1st owner,20000,54605,25000
Honda Activa [2000-2015],,2009,Individual,1st owner,60000,50267,10000
Mahindra Flyte,,2009,Individual,3rd owner,20000,44493,22000
Honda Activa 3G,,2015,Individual,1st owner,18000,54605,45000
KTM 250 Duke,,2017,Individual,1st owner,16500,,135000
Yamaha Ray Z,,2017,Individual,1st owner,15000,52949,75000
Bajaj Pulsar 135 LS,,2010,Individual,1st owner,45000,64589,24000
Yamaha FZ16,,2016,Individual,1st owner,37000,78712,45000
Hero Passion PRO i3s,,2017,Individual,1st owner,14600,54475,55000
Bajaj Discover 125,,2006,Individual,1st owner,51000,57549,10000
Royal Enfield Classic 350,,2017,Individual,1st owner,15000,,135000
Honda CB Unicorn 150,,2017,Individual,1st owner,12000,74295,55000
Bajaj Avenger [2015],,2012,Individual,1st owner,15000,75502,35000
Bajaj Super,,1988,Individual,1st owner,21000,,20000
Bajaj Pulsar 150,,2012,Individual,2nd owner,65000,,26000
Honda Activa [2000-2015],,2009,Individual,1st owner,95000,50267,23000
Royal Enfield Classic Desert Storm,,2015,Individual,1st owner,23000,181445,150000
Hero Honda CD Deluxe,,2012,Individual,2nd owner,40000,,24700
Hero Duet,,2016,Individual,2nd owner,49637,54080,35000
Hero Honda Passion PRO [2012],,2012,Individual,1st owner,90000,,12000
Royal Enfield Classic 350,,2017,Individual,1st owner,7000,,150000
Honda Activa 3G,,2016,Individual,1st owner,5326,54605,50000
Honda Activa [2000-2015],,2009,Individual,1st owner,585659,50267,25000
Hero Honda CD100,,1999,Dealer,2nd owner,10000,,15000
Hero Super Splendor,,2014,Individual,2nd owner,37541,,35000
Honda CB Trigger,,2015,Individual,1st owner,36000,83437,45000
Honda Dream Yuga,,2013,Individual,1st owner,29000,56147,25000
Hero Honda Passion Plus,,2018,Individual,1st owner,29000,,40000
TVS Spectra,,2008,Individual,1st owner,50000,,17000
Hero Ignitor,,2016,Individual,1st owner,18000,67722,30000
Hero Honda CD100,,2000,Individual,1st owner,50000,,15000
Bajaj Pulsar 220F,,2017,Individual,2nd owner,40000,,60000
Hero Splendor Plus,,2013,Individual,1st owner,20000,,30000
Yamaha YZF R15 [2011-2018],,2012,Individual,1st owner,22000,118997,60000
Honda Activa 3G,,2015,Individual,1st owner,4500,54605,32000
Bajaj Discover 150,,2012,Individual,1st owner,50000,54299,30000
Bajaj Pulsar 150 [2001-2011],,2010,Individual,1st owner,42000,,55000
Bajaj Avenger Street 150 [2018],,2016,Individual,1st owner,35000,80435,75000
TVS Star City Plus,,2017,Individual,1st owner,25000,,52000
Bajaj Discover 125,,2018,Individual,1st owner,34000,60122,38000
Bajaj Discover 135,,2007,Individual,1st owner,60000,,12000
Honda CB Shine SP,,2017,Individual,1st owner,73000,64750,47000
Honda Activa [2000-2015],,2014,Individual,1st owner,38000,50267,22000
Bajaj Avenger [2015],,2015,Individual,1st owner,26000,75502,65000
Bajaj Platina 100,,2013,Individual,2nd owner,24000,,23000
Bajaj Discover 100,,2011,Individual,1st owner,45000,42859,30000
Bajaj Pulsar 150,,2011,Individual,1st owner,36000,,35000
Bajaj Avenger Street 150 [2018],,2017,Individual,1st owner,30000,80435,80000
Bajaj Platina 100,,2012,Individual,1st owner,16295,,20000
Bajaj Pulsar 150,,2011,Individual,2nd owner,59000,,16000
Bajaj Pulsar 150,,2006,Individual,1st owner,9500,,20000
Bajaj Pulsar NS200,,2012,Individual,1st owner,46000,,50000
Honda CB Trigger,,2015,Individual,1st owner,75000,76572,40000
Bajaj Pulsar 135 LS,,2010,Individual,1st owner,80000,64589,20000
Bajaj Pulsar 180,,2018,Individual,1st owner,26000,85011,65000
Yamaha YZF R15 S,,2016,Individual,1st owner,26000,117926,85000
Hero Splendor Plus,,2007,Individual,1st owner,100000,,12000
Hero Xpulse 200T,,2019,Individual,1st owner,2900,96500,105000
Yamaha FZ S V 2.0,,2015,Individual,1st owner,25000,84042,40000
Bajaj Discover 150,,2011,Individual,2nd owner,39500,54299,30000
Honda Activa [2000-2015],,2012,Individual,1st owner,40000,50267,25000
Hero Splendor PRO,,2016,Individual,1st owner,16000,51994,40000
Honda Dream Neo,,2017,Individual,2nd owner,21000,49211,45000
Bajaj CT 100,,2018,Individual,1st owner,14000,,40000
Suzuki Access 125,,2018,Individual,1st owner,7000,76632,70000
Honda Activa [2000-2015],,2012,Individual,1st owner,22000,50267,30000
Hero Honda Pleasure,,2009,Individual,1st owner,50000,,25000
Bajaj Platina 100,,2012,Individual,1st owner,16295,,20000
Honda CB Hornet 160R,,2017,Individual,1st owner,35000,87719,70000
Bajaj V15,,2017,Individual,1st owner,9000,65626,50000
Hero Honda CD Deluxe,,2010,Individual,1st owner,35000,,25000
Bajaj Pulsar 150,,2011,Individual,1st owner,60000,,22000
Honda Activa [2000-2015],,2013,Individual,1st owner,29500,50267,35000
TVS Apache RTR 160,,2014,Individual,2nd owner,50000,,40000
Bajaj Pulsar 220F,,2016,Individual,1st owner,10500,,75000
Hero Honda Passion PRO [2012],,2011,Individual,2nd owner,60000,,28000
Hero Maestro Edge,,2018,Individual,1st owner,39000,52790,55000
Honda Dio,,2014,Individual,1st owner,24000,,30000
Hero Glamour 125,,2016,Individual,1st owner,15000,61600,40000
Bajaj Avenger Street 160,,2019,Individual,1st owner,3000,,85000
Hero Honda CD Deluxe,,2007,Individual,2nd owner,100000,,12000
Yamaha YBR 125,,2013,Individual,1st owner,20350,54593,35000
Bajaj Pulsar 150,,2015,Individual,2nd owner,50000,,25000
Bajaj Pulsar 150,,2012,Individual,2nd owner,37000,,40000
Hero Honda CD Deluxe,,2011,Individual,1st owner,70000,,15000
Hero Passion PRO i3s,,2018,Individual,1st owner,15000,54475,55000
Bajaj Pulsar 180,,2015,Individual,1st owner,28563,85011,60000
Yamaha Fazer 25,,2018,Individual,1st owner,11000,142680,115000
TVS Excel,,1998,Individual,1st owner,60000,,5000
Honda Shine,,2015,Individual,1st owner,21121,,40000
Honda Dream Neo,,2014,Individual,1st owner,25000,49211,50000
Honda Dio,,2014,Individual,1st owner,13000,,28000
Hero Splendor Plus,,2013,Individual,1st owner,55000,,35000
Bajaj Xcd,,2007,Individual,2nd owner,100000,,25000
TVS Streak,,2009,Individual,2nd owner,36000,,20000
Bajaj Pulsar 180,,2013,Individual,1st owner,34000,85011,40000
Hero Xtreme 200R,,2018,Individual,1st owner,12000,93400,86000
Yamaha YZF R15 [2011-2018],,2011,Individual,1st owner,29000,,65000
Bajaj Avenger Street 150 [2018],,2017,Individual,1st owner,30000,80435,60000
Yamaha RX135,,1998,Individual,3rd owner,16500,,65000
Honda CB Shine SP,,2017,Individual,1st owner,33000,66697,41000
Honda CBR150 R,,2017,Individual,1st owner,11800,129662,110000
Honda Dream Yuga,,2017,Individual,1st owner,39000,56147,32000
Honda Shine,,2014,Individual,1st owner,16145,,37000
Hero Splendor Plus i3s,,2019,Individual,1st owner,1000,55600,65000
Hero Honda Passion Plus,,2007,Individual,2nd owner,50000,,18000
Hero Honda Passion PRO [2012],,2012,Individual,2nd owner,49876,,28700
Honda Activa 3G,,2016,Individual,1st owner,51000,54605,35000
Bajaj Pulsar 180F,,2019,Individual,1st owner,1300,,100000
Hero Honda Glamour,,2010,Individual,1st owner,11000,,21000
Bajaj Pulsar 150 [2001-2011],,2010,Individual,2nd owner,55000,,30000
TVS Apache RTR 200 4V,,2019,Individual,1st owner,20000,,90000
Bajaj Super,,1991,Individual,1st owner,35000,,6000
Hero Honda Passion Plus,,2010,Individual,1st owner,60000,,23500
Bajaj Pulsar 150,,2015,Individual,2nd owner,40000,,55000
Yamaha SZ X,,2010,Individual,1st owner,46000,65800,35000
Hero Honda CD100,,1998,Individual,1st owner,65000,,15000
Bajaj Pulsar 180,,2009,Individual,1st owner,19000,85011,35000
Bajaj Pulsar 220 DTS-i,,2011,Individual,1st owner,26000,,40000
Hero Honda Achiever,,2009,Individual,1st owner,86000,,15000
Hero Honda Karizma,,2011,Individual,2nd owner,340000,,40000
Honda CB Unicorn 160,,2016,Individual,1st owner,40000,77545,75000
Bajaj Avenger Cruise 220,,2016,Individual,1st owner,10000,,70000
Bajaj Discover 135,,2007,Individual,1st owner,25000,,22000
Yamaha FZ S V 2.0,,2019,Individual,1st owner,10000,87042,80000
Bajaj Pulsar 150,,2017,Individual,1st owner,24000,,72000
Hero HF Deluxe,,2014,Individual,2nd owner,35000,,30000
Bajaj Pulsar 135 LS,,2011,Individual,2nd owner,30000,64589,25000
Aprilia SR 125,,2018,Individual,1st owner,6500,,65000
Bajaj Pulsar 150,,2019,Individual,1st owner,10000,,68000
Hero Duet,,2016,Individual,1st owner,28000,50280,27000
Honda CB Twister,,2015,Individual,1st owner,35000,57241,25000
Bajaj Discover 125,,2016,Individual,1st owner,20000,60122,45000
Honda CBR-250R,,2019,Individual,1st owner,5500,202310,200000
Bajaj Pulsar 180,,2008,Individual,1st owner,36000,85011,20100
Honda Shine,,2014,Individual,1st owner,25000,,30000
Suzuki Swish [2012-2015],,2014,Individual,1st owner,30000,51685,30000
TVS Star City,,2011,Individual,1st owner,101000,47108,21000
Hero Super Splendor,,2012,Individual,1st owner,21000,,45000
Yamaha Fazer [2009-2016],,2014,Individual,1st owner,57700,84751,45000
TVS Scooty Pep DLX,,2012,Individual,1st owner,44000,,14500
Honda Dream Yuga,,2019,Individual,1st owner,8800,56147,47000
TVS Star City Plus,,2014,Individual,2nd owner,68000,,26000
Yamaha Fazer [2009-2016],,2013,Individual,1st owner,120000,84751,25000
Hero Honda Street Smart,,2000,Individual,1st owner,24000,,10000
TVS Apache RTR 160,,2017,Individual,1st owner,38000,,50000
Honda Dio,,2010,Individual,1st owner,40000,,23000
Honda Activa [2000-2015],,2014,Individual,1st owner,48000,50267,50000
Hero Maestro Edge,,2015,Individual,1st owner,14000,55980,46000
Honda CB Hornet 160R,,2017,Individual,1st owner,18000,87719,80000
Hero Karizma [2003-2014],,2013,Individual,1st owner,38000,85766,50000
Honda CB Trigger,,2014,Individual,1st owner,75000,83437,40000
Honda CB Hornet 160R,,2017,Individual,1st owner,35000,87719,70000
Hero Glamour FI,,2014,Individual,1st owner,25000,71150,30900
Bajaj Avenger [2015],,2010,Individual,1st owner,20000,75502,65000
Hero Honda Splendor Plus,,2006,Individual,1st owner,100000,,15000
TVS Apache RTR 160,,2019,Individual,1st owner,6400,,89999
Hero Honda Splendor Plus,,2006,Individual,1st owner,52000,,17600
Bajaj Platina 100,,2007,Individual,1st owner,16000,,17000
Yamaha FZ25,,2018,Individual,1st owner,8200,132680,90000
Bajaj Pulsar 150 [2001-2011],,2010,Individual,1st owner,60000,,35000
Yamaha YZF R15 S,,2017,Individual,1st owner,16000,117926,70000
Bajaj Discover 125,,2011,Individual,1st owner,47000,57549,15000
Hero Passion PRO i3s,,2016,Individual,1st owner,18000,54475,35000
Honda Activa [2000-2015],,2006,Individual,1st owner,50000,50267,15000
Bajaj Discover 125,,2018,Individual,1st owner,6000,60122,50000
Suzuki Gixxer [2014-2018],,2017,Individual,1st owner,20000,82813,69000
TVS Wego,,2011,Individual,1st owner,65000,54760,15000
Bajaj Discover 150,,2008,Individual,1st owner,25000,54299,25000
Suzuki Access 125 [2007-2016],,2012,Individual,1st owner,23000,58314,30000
Hero Karizma 2014,,2014,Individual,1st owner,5555,86744,45000
Hero CD Deluxe,,2016,Individual,1st owner,38000,,35000
Yamaha Fazer 25,,2018,Individual,1st owner,6000,142680,120000
Hero Splendor Plus,,2015,Individual,1st owner,45000,,25000
Yamaha YZF R15 [2011-2018],,2017,Individual,1st owner,27000,118997,80000
Hero Honda Splendor Plus,,2007,Individual,1st owner,98000,,10000
TVS Apache RTR 160,,2018,Individual,1st owner,16000,,70000
Bajaj Pulsar 150,,2011,Individual,1st owner,50000,,35000
Hero Glamour 125,,2015,Individual,1st owner,71250,61600,40000
Hero Honda Passion Plus,,2006,Individual,1st owner,28000,,20000
Honda CB Twister,,2012,Individual,1st owner,50000,57241,30000
Bajaj CT 100,,2005,Individual,2nd owner,82000,,8000
Bajaj Pulsar 220 DTS-i,,2013,Individual,1st owner,6409,,65000
Hero Honda Super Splendor [2005],,2008,Individual,1st owner,54000,,20000
Honda CB Trigger,,2013,Individual,1st owner,20000,76572,45000
Hero Hunk,,2013,Individual,1st owner,50000,78513,35000
Bajaj Discover 150,,2011,Individual,1st owner,52000,54299,25000
TVS Apache RTR 160,,2009,Individual,4th owner,880000,,15000
Hero Xtreme Sports,,2017,Individual,1st owner,23000,78350,65000
Bajaj Avenger [2015],,2011,Individual,1st owner,35000,75502,45000
Honda Activa 125,,2017,Individual,1st owner,49000,,45000
Bajaj Pulsar 220F,,2011,Individual,2nd owner,55000,,50000
Bajaj Pulsar NS200,,2018,Individual,2nd owner,15100,,85000
Hero Honda Splendor,,2008,Individual,1st owner,38000,,25000
Honda CB Unicorn 150,,2017,Individual,1st owner,12652,74295,60000
Suzuki Gixxer SF Fi,,2019,Individual,1st owner,7000,103170,100000
KTM RC 200,,2019,Individual,2nd owner,13800,,180000
Bajaj Discover 100,,2010,Individual,2nd owner,28000,42859,25000
TVS Wego,,2011,Individual,2nd owner,20000,54760,15000
Honda CB Hornet 160R,,2017,Individual,2nd owner,16008,92210,60000
Yamaha YZF R15 S,,2018,Individual,1st owner,36000,117926,75000
Hero CBZ,,2010,Individual,1st owner,36000,,35000
TVS Scooty Zest 110,,2018,Individual,1st owner,380,53751,55000
Yamaha FZ S V 2.0,,2018,Individual,1st owner,50000,87042,85000
Hero Honda Glamour,,2012,Individual,1st owner,30000,,35000
Hero Honda CBZ extreme,,2011,Individual,1st owner,35000,,35000
Yamaha FZ S V 2.0,,2017,Individual,1st owner,14500,84042,60000
Suzuki Access 125,,2017,Individual,1st owner,15000,,40000
Bajaj Pulsar 150,,2010,Individual,1st owner,54000,,30000
Bajaj Pulsar NS160,,2018,Individual,1st owner,11000,,80000
Hero Splendor PRO,,2011,Individual,1st owner,43000,51994,24000
Honda Shine,,2010,Individual,1st owner,15000,,18000
Hero Passion Pro 110,,2008,Individual,3rd owner,40000,,20000
Yamaha FZ16,,2016,Individual,1st owner,93000,78712,40000
Suzuki Access 125,,2012,Individual,1st owner,24000,,20000
TVS Jupiter,,2018,Individual,1st owner,14000,,70000
Hero Passion Pro 110,,2019,Individual,1st owner,29442,,50000
Yamaha FZ S V 2.0,,2017,Individual,1st owner,20000,84042,75000
Honda Livo,,2015,Individual,1st owner,30000,,25000
Honda CB Hornet 160R,,2017,Individual,1st owner,38000,87543,70000
Honda Activa 125 [2016-2017],,2018,Individual,1st owner,18000,61545,55000
Honda Activa 5G,,2018,Individual,1st owner,14000,59422,51000
Yamaha Saluto,,2019,Individual,1st owner,13000,59844,74000
Yamaha FZ S V 2.0,,2017,Individual,1st owner,42000,84042,65000
Bajaj Avenger Street 150 [2018],,2016,Individual,2nd owner,27000,80435,60000
Bajaj Pulsar 220F,,2019,Individual,1st owner,4000,,110000
Yamaha YZF R15 [2011-2018],,2014,Individual,1st owner,1200,118997,50000
TVS Apache RTR 160 4V,,2018,Individual,1st owner,7500,,85009
Hero Passion Pro 110,,2013,Individual,1st owner,15000,,60000
Bajaj Pulsar 150,,2013,Individual,2nd owner,70000,,25000
TVS Apache RTR 160 4V,,2019,Individual,1st owner,12657,,75000
Honda CB Unicorn 150,,2010,Individual,1st owner,69000,74295,30000
Honda Activa [2000-2015],,2010,Individual,1st owner,100000,50267,16600
Honda Activa 3G,,2015,Individual,1st owner,18000,54605,30000
Honda Shine,,2007,Individual,1st owner,80000,,20000
Honda Activa 5G,,2019,Individual,1st owner,11200,59422,62000
Bajaj Avenger Street 220,,2016,Individual,1st owner,17000,95955,60000
Hero Xtreme [2013-2014],,2014,Individual,1st owner,56420,72492,45000
Yamaha FZ S [2012-2016],,2011,Individual,1st owner,82000,79432,40000
Suzuki Intruder 150,,2018,Individual,1st owner,10000,,75000
Yamaha Fazer [2009-2016],,2012,Individual,1st owner,100000,84751,50000
Bajaj Pulsar RS 200,,2017,Individual,1st owner,18345,,105000
Bajaj Discover 135,,2009,Individual,1st owner,20000,,30000
Hero Honda CBZ,,2000,Individual,4th owner,48000,,10000
Bajaj Pulsar 135 LS,,2014,Individual,1st owner,14000,64589,45000
Yamaha Fazer 25,,2018,Individual,2nd owner,4100,142680,145000
Honda CB Unicorn 150,,2016,Individual,2nd owner,50000,74295,45000
Honda Activa 5G,,2019,Individual,1st owner,3025,59422,65000
Bajaj Pulsar 135 LS,,2011,Individual,1st owner,60000,64589,20000
Hero Duet,,2016,Individual,1st owner,6000,50280,37000
Hero Splendor NXG,,2011,Individual,1st owner,35000,44814,18000
Hero Glamour 125,,2013,Individual,1st owner,50000,61600,25000
Honda Activa 5G,,2018,Individual,1st owner,10000,57557,46000
Yamaha Fascino 110,,2019,Individual,1st owner,7000,57112,55000
Bajaj V15,,2016,Individual,1st owner,34000,67187,40000
Hero Honda Passion PRO [2012],,2012,Individual,2nd owner,20000,,25000
Honda Activa [2000-2015],,2012,Individual,1st owner,38000,50267,25000
Bajaj Xcd,,2008,Individual,1st owner,100000,,15000
Bajaj Pulsar NS160,,2018,Individual,1st owner,20000,,70000
Honda CB Hornet 160R,,2017,Individual,1st owner,240000,92210,70000
Yamaha RXG,,1997,Individual,1st owner,45354,,25000
TVS Streak,,2009,Individual,1st owner,100000,,10000
Bajaj Pulsar RS 200,,2015,Individual,1st owner,32000,,80000
Yamaha Alpha,,2015,Individual,2nd owner,14000,54253,25000
Honda Livo,,2016,Individual,1st owner,70000,,35000
Mahindra Gusto,,2016,Individual,1st owner,13500,51185,25000
Bajaj Discover 125,,2012,Individual,1st owner,75000,57549,26000
Hero Glamour 125,,2011,Individual,1st owner,75000,61600,15000
Honda CB Unicorn 160,,2017,Individual,1st owner,52000,77545,50000
Hero Pleasure,,2013,Individual,1st owner,18860,49600,26500
Royal Enfield Classic 350,,2017,Individual,1st owner,2700,,135000
Honda CB Hornet 160R,,2016,Individual,1st owner,100000,92661,80000
Bajaj CT 100,,2016,Individual,1st owner,38500,,30000
Yamaha FZ S V 2.0,,2018,Individual,1st owner,10500,87042,90000
Bajaj Pulsar 180,,2016,Individual,1st owner,35000,85011,85000
Hero Glamour 125,,2013,Individual,1st owner,17000,61600,54000
Bajaj CT 100,,2019,Individual,1st owner,2900,,42000
Bajaj Discover 100 T,,2014,Individual,1st owner,30000,47032,25000
TVS Star City Plus,,2016,Individual,2nd owner,14000,,50000
Honda CB Unicorn 150,,2014,Individual,1st owner,10000,74295,55000
Hero Passion PRO TR,,2014,Individual,1st owner,9556,54586,35000
Honda CB Shine SP,,2018,Individual,1st owner,37000,64750,50000
Bajaj V15,,2015,Individual,1st owner,2700,65626,45000
Bajaj V15,,2016,Individual,1st owner,36000,67187,45000
Bajaj Discover 100,,2015,Individual,2nd owner,52000,42859,28000
Royal Enfield Electra 4 S,,2013,Individual,1st owner,46000,,80000
KTM 200 Duke,,2016,Individual,1st owner,12000,,130000
Bajaj Pulsar 220F,,2019,Individual,1st owner,6500,,120000
Suzuki GS150R,,2012,Individual,1st owner,14100,70851,27000
Honda Shine,,2014,Individual,1st owner,40000,,30000
Honda CB Unicorn Dazzler,,2010,Individual,1st owner,75000,71757,50000
Honda Livo,,2018,Individual,1st owner,10000,,45000
Honda Aviator,,2009,Individual,1st owner,29625,59183,28000
Honda Activa [2000-2015],,2006,Individual,2nd owner,35000,50267,6000
Hero Hunk,,2016,Individual,1st owner,32000,78513,35000
Honda Activa 125,,2014,Individual,1st owner,20000,,30000
Bajaj Discover 110,,2007,Individual,1st owner,70000,52710,15000
Hero Xtreme [2013-2014],,2013,Individual,1st owner,57000,75936,45000
TVS Victor GLX,,2005,Individual,1st owner,11000,,18000
Bajaj Pulsar NS200,,2018,Individual,1st owner,17500,,85000
Honda Aviator,,2014,Individual,1st owner,7000,59183,30000
Bajaj Platina 100,,2018,Individual,1st owner,17500,,40000
TVS Sport,,2018,Individual,1st owner,25000,,34000
Hero Honda Passion Plus,,2003,Individual,1st owner,53500,,8000
Bajaj V15,,2018,Individual,1st owner,15000,67187,70000
Honda Dio,,2016,Individual,1st owner,8000,,50000
Honda Dream Yuga,,2015,Individual,1st owner,39448,56147,35000
Hero Honda Splendor Plus,,2006,Individual,1st owner,75000,,20000
Bajaj Pulsar 150,,2012,Individual,1st owner,28000,,50000
Bajaj Discover 135,,2008,Individual,1st owner,62000,,37000
Honda Livo,,2018,Individual,1st owner,12000,,69000
Hero Honda Splendor NXG,,2012,Individual,1st owner,49999,,28000
Bajaj Discover 125,,2011,Individual,1st owner,70000,57549,25000
Yamaha FZ V 2.0,,2018,Individual,1st owner,25000,81508,60000
Yamaha SZ-S,,2014,Individual,1st owner,20000,72532,50000
Royal Enfield Thunderbird 350,,2016,Individual,1st owner,4500,,135000
Bajaj Discover 125 M,,2014,Individual,1st owner,45000,49146,30000
Yamaha FZ S [2012-2016],,2014,Individual,1st owner,68000,79432,60000
Honda Activa [2000-2015],,2009,Individual,1st owner,95000,50267,23000
Bajaj Xcd,,2009,Individual,1st owner,16000,,20000
Bajaj Avenger Street 160,,2019,Individual,1st owner,5000,,80000
Royal Enfield Electra 5 S,,2006,Individual,2nd owner,36000,,99000
TVS Apache RTR 200 4V,,2018,Individual,1st owner,70000,,90000
Hero Honda Splendor Plus,,2005,Individual,1st owner,27370,,20000
Hero Glamour 125,,2017,Individual,1st owner,8600,61600,50000
TVS Victor GLX,,2002,Individual,1st owner,49000,,27000
Honda Grazia,,2018,Individual,1st owner,16000,,60000
Bajaj Pulsar 150 [2001-2011],,2007,Individual,2nd owner,100000,,12000
Hero Xtreme 2014,,2014,Individual,1st owner,10000,72973,50000
Hero Pleasure,,2012,Individual,2nd owner,30000,49600,20000
Hero Passion XPro,,2018,Individual,1st owner,7000,58900,45000
Hero Super Splendor,,2013,Individual,1st owner,68000,,40000
Yamaha FZ S [2012-2016],,2016,Individual,2nd owner,20000,79432,45000
Honda Activa [2000-2015],,2015,Individual,1st owner,25000,50267,25000
Hero Glamour FI,,2019,Individual,1st owner,8900,71150,75000
Hero Honda Passion Plus,,2007,Individual,1st owner,70000,,25000
Hero Splendor Plus,,2006,Individual,2nd owner,40000,,25000
Hero Xpulse 200,,2019,Individual,1st owner,8500,107500,100000
Honda CB Unicorn 150,,2012,Individual,1st owner,32000,74295,30000
Bajaj Discover 135,,2010,Individual,1st owner,55000,,25000
Hero Honda Splendor,,2006,Individual,1st owner,75000,,10000
Hero Honda CD Deluxe,,2008,Individual,3rd owner,65000,,25000
Royal Enfield Electra Twinspark,,2016,Individual,1st owner,345000,,120000
Honda Dream Neo,,2014,Individual,1st owner,21000,53415,42000
Hero Maestro,,2013,Individual,1st owner,60000,49412,30000
Honda CBR150 R,,2014,Individual,1st owner,38000,132513,77000
Honda CB Unicorn Dazzler,,2011,Individual,1st owner,40000,71757,25000
TVS Apache [2006],,2006,Individual,1st owner,40000,,15000
Hero Passion XPro,,2013,Individual,1st owner,25000,59640,25000
Honda Activa 5G,,2018,Individual,1st owner,25000,57957,50000
Honda Activa i,,2014,Individual,1st owner,25000,53900,30000
TVS Apache RTR 200 4V,,2019,Individual,1st owner,3000,,125000
Hero Honda CBZ extreme,,2011,Individual,1st owner,28000,,35000
Suzuki Gixxer [2014-2018],,2015,Individual,1st owner,40000,78316,45000
Hero Xpulse 200,,2019,Individual,1st owner,8500,107500,98000
Bajaj Pulsar 150,,2017,Individual,1st owner,30000,,75000
Bajaj Pulsar AS150,,2017,Individual,2nd owner,20000,80821,55000
Bajaj Platina 100,,2013,Individual,1st owner,30000,,25000
Honda CB Twister,,2014,Individual,1st owner,12566,49150,70000
Suzuki SlingShot,,2011,Individual,1st owner,17000,,24000
TVS Apache RTR 160,,2018,Individual,1st owner,17000,,70000
Bajaj V12,,2017,Individual,1st owner,35000,58906,45000
Hero Karizma 2014,,2015,Individual,1st owner,40000,86744,25000
Yamaha YZF R15 V3,,2019,Individual,1st owner,1400,146400,170000
Yamaha Fascino 110,,2016,Individual,1st owner,37000,54500,38000
Honda CB Unicorn 160,,2015,Individual,1st owner,15000,77545,45000
Yamaha Gladiator,,2009,Individual,1st owner,46000,,15000
Hero Honda Glamour,,2012,Individual,1st owner,75000,,45000
Bajaj Discover 100,,2014,Individual,1st owner,14289,42859,22000
Mahindra Gusto,,2015,Individual,2nd owner,20000,51185,30000
Royal Enfield Thunderbird 350,,2012,Individual,1st owner,28000,,100000
Royal Enfield Classic 350,,2014,Individual,1st owner,19000,,100000
Bajaj Pulsar 150,,2017,Individual,1st owner,28450,,60000
Royal Enfield Electra Twinspark,,2014,Individual,1st owner,31500,,100000
Bajaj Pulsar 150,,2016,Individual,1st owner,28000,,40000
